@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp
ID,
Type,Date
Format,yyyy-MM-dd HH:mm
2018-05-16 00:00,-0.019950983638078262
2018-05-16 01:00,-0.01954574613179387
2018-05-16 02:00,-0.01914136175210672
2018-05-16 03:00,-0.01873681391160191
2018-05-16 04:00,-0.01833118473982108
2018-05-16 05:00,-0.017923658496096895
2018-05-16 06:00,-0.017513533182426197
2018-05-16 07:00,-0.01713633674092742
2018-05-16 08:00,-0.01679192920560936
2018-05-16 09:00,-0.01650101147891174
2018-05-16 10:00,-0.016232944429166354
2018-05-16 11:00,-0.01596002534863289
2018-05-16 12:00,-0.015682723739280438
2018-05-16 13:00,-0.015399395990329065
2018-05-16 14:00,-0.015101255158817425
2018-05-16 15:00,-0.014827033279967233
2018-05-16 16:00,-0.014535588146358969
2018-05-16 17:00,-0.014248443016465093
2018-05-16 18:00,-0.013895343840272883
2018-05-16 19:00,-0.01350439036695994
2018-05-16 20:00,-0.01309442984191686
2018-05-16 21:00,-0.012690057104742622
2018-05-16 22:00,-0.012290634349363005
2018-05-16 23:00,-0.011884787512462705
2018-05-17 00:00,-0.011483261150509433
2018-05-17 01:00,-0.011089400660252824
2018-05-17 02:00,-0.0106977547531103
2018-05-17 03:00,-0.010311145659220783
2018-05-17 04:00,-0.009929969734058006
2018-05-17 05:00,-0.009553791509799459
2018-05-17 06:00,-0.00918078337562983
2018-05-17 07:00,-0.008856509359692025
2018-05-17 08:00,-0.008609598555884404
2018-05-17 09:00,-0.008444319589309357
2018-05-17 10:00,-0.008315848727333847
2018-05-17 11:00,-0.008250279530199786
2018-05-17 12:00,-0.008235454682714485
2018-05-17 13:00,-0.008343563048308564
2018-05-17 14:00,-0.0084355826467951
2018-05-17 15:00,-0.008466993334947201
2018-05-17 16:00,-0.008425976500774063
2018-05-17 17:00,-0.008295714352888423
2018-05-17 18:00,-0.008027761108861303
2018-05-17 19:00,-0.007620610135386494
2018-05-17 20:00,-0.007145214178301551
2018-05-17 21:00,-0.006584006312491508
2018-05-17 22:00,-0.005986245324041073
2018-05-17 23:00,-0.005337774887087476
2018-05-18 00:00,-0.004680591811030338
2018-05-18 01:00,-0.004047472186883699
2018-05-18 02:00,-0.003421157775259212
2018-05-18 03:00,-0.00279530559617705
2018-05-18 04:00,-0.002181874288918889
2018-05-18 05:00,-0.001567108107436807
2018-05-18 06:00,-0.0009580785605457637
2018-05-18 07:00,-0.00039988873581645046
2018-05-18 08:00,5.765260778076153e-05
2018-05-18 09:00,0.00045675459786556627
2018-05-18 10:00,0.0007893574314668111
2018-05-18 11:00,0.0009793375177096636
2018-05-18 12:00,0.0010896781178740406
2018-05-18 13:00,0.001170059488949382
2018-05-18 14:00,0.001190856486728023
2018-05-18 15:00,0.0011938934925954103
2018-05-18 16:00,0.0011389760931480725
2018-05-18 17:00,0.0010265824308410693
2018-05-18 18:00,0.0009370396293648803
2018-05-18 19:00,0.0009705017538559901
2018-05-18 20:00,0.0010894066784643414
2018-05-18 21:00,0.001229222538467356
2018-05-18 22:00,0.0014013696343028043
2018-05-18 23:00,0.0015908920810263905
2018-05-19 00:00,0.0017526114188344821
2018-05-19 01:00,0.0019258717665877612
2018-05-19 02:00,0.0021109842140705354
2018-05-19 03:00,0.0023011682281034312
2018-05-19 04:00,0.0025026840962062563
2018-05-19 05:00,0.002699623724550071
2018-05-19 06:00,0.00288921314867549
2018-05-19 07:00,0.0030199383908191685
2018-05-19 08:00,0.0030557103623032045
2018-05-19 09:00,0.0030491881775987356
2018-05-19 10:00,0.002976708206602882
2018-05-19 11:00,0.002805273795337071
2018-05-19 12:00,0.0025297961704510707
2018-05-19 13:00,0.0022057503460568145
2018-05-19 14:00,0.001872970009933167
2018-05-19 15:00,0.0014726028740453256
2018-05-19 16:00,0.0010601043091173629
2018-05-19 17:00,0.0007718279871061912
2018-05-19 18:00,0.000532831487632765
2018-05-19 19:00,0.0003207755750629787
2018-05-19 20:00,0.00019876237990343326
2018-05-19 21:00,0.00011511340524944513
2018-05-19 22:00,6.182087488047772e-05
2018-05-19 23:00,-7.152905635784967e-06
2018-05-20 00:00,-4.739175959775355e-05
2018-05-20 01:00,-6.402604260936917e-05
2018-05-20 02:00,-6.792142353460873e-05
2018-05-20 03:00,-8.319945896842484e-05
2018-05-20 04:00,-0.00010599608775778424
2018-05-20 05:00,-0.0001250194469982202
2018-05-20 06:00,-0.00013883148650054022
2018-05-20 07:00,-0.00021083662153249805
2018-05-20 08:00,-0.0003736675611956952
2018-05-20 09:00,-0.0006174512037754598
2018-05-20 10:00,-0.0009312225224872156
2018-05-20 11:00,-0.0013147949003912557
2018-05-20 12:00,-0.0017670301587111165
2018-05-20 13:00,-0.002243979208051139
2018-05-20 14:00,-0.0027510179769364013
2018-05-20 15:00,-0.003253964583199362
2018-05-20 16:00,-0.0036127634021392713
2018-05-20 17:00,-0.003890112783298205
2018-05-20 18:00,-0.00421041846879025
2018-05-20 19:00,-0.004451653669701253
2018-05-20 20:00,-0.004624042591124838
2018-05-20 21:00,-0.00476051298397015
2018-05-20 22:00,-0.004895931987951241
2018-05-20 23:00,-0.005035446065921004
2018-05-21 00:00,-0.005157651873350877
2018-05-21 01:00,-0.005273588478380359
2018-05-21 02:00,-0.005382842934133519
2018-05-21 03:00,-0.005489720442163018
2018-05-21 04:00,-0.005600084755225998
2018-05-21 05:00,-0.00570261706370917
2018-05-21 06:00,-0.0058194007194282416
2018-05-21 07:00,-0.0059578804834642535
2018-05-21 08:00,-0.006151385760472999
2018-05-21 09:00,-0.006418644791886252
2018-05-21 10:00,-0.006807381488588879
2018-05-21 11:00,-0.007218583762901951
2018-05-21 12:00,-0.007567697564690182
2018-05-21 13:00,-0.007896783215282532
2018-05-21 14:00,-0.00819432344780796
2018-05-21 15:00,-0.008446778637549848
2018-05-21 16:00,-0.008766739272048296
2018-05-21 17:00,-0.00912683672059128
2018-05-21 18:00,-0.009348341007265254
2018-05-21 19:00,-0.009470742580253225
2018-05-21 20:00,-0.009583035547543459
2018-05-21 21:00,-0.009638692189009368
2018-05-21 22:00,-0.009712209510960038
2018-05-21 23:00,-0.009758426390546776
2018-05-22 00:00,-0.009819916849671553
2018-05-22 01:00,-0.009863237615660853
2018-05-22 02:00,-0.00988619248987449
2018-05-22 03:00,-0.009916754211858836
2018-05-22 04:00,-0.00993679560137771
2018-05-22 05:00,-0.009942174179719876
2018-05-22 06:00,-0.00995476518259708
2018-05-22 07:00,-0.009990818776710889
2018-05-22 08:00,-0.010125785969329573
2018-05-22 09:00,-0.010349528264056843
2018-05-22 10:00,-0.010666968665028045
2018-05-22 11:00,-0.011031607657772974
2018-05-22 12:00,-0.011436407063181622
2018-05-22 13:00,-0.011849212935364353
2018-05-22 14:00,-0.012277026862282506
2018-05-22 15:00,-0.01270497122592222
2018-05-22 16:00,-0.013098021341598792
2018-05-22 17:00,-0.013192558453145736
