@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp,value_1 ,value_1 ,value_1 ,value_1
ID,,1 ,1 ,1 ,1
Type,Date,double,double,double,double
Format,yyyy-MM-dd HH:mm, , , ,
,2018-06-13 20:00,2.894678739101116,0.9397224865881605,1.642697173915106,1.4316032501512908
,2018-06-13 21:00,2.3435270810328075,0.9252430229247568,1.6730549975822504,1.431603388422243
,2018-06-13 22:00,1.7782880437799056,0.9347233268298218,1.6997829143535346,1.4316035040941826
,2018-06-13 23:00,1.5668711825913897,1.0655587209494883,1.7238161829297496,1.431603607531792
,2018-06-14 00:00,1.4207896006332974,1.3960622842498507,1.7475306959631052,1.4316037092265772
,2018-06-14 01:00,1.3052036020877287,1.6227313401874308,1.7756055138676006,1.4316038281483079
,2018-06-14 02:00,1.209626157429835,1.680820328795275,1.8183980227974503,1.431604009050595
,2018-06-14 03:00,1.1282805413400805,1.6772267660376101,1.8892742969526701,1.4316043130429106
,2018-06-14 04:00,1.0575148524922593,1.651875107982335,1.984239570233204,1.4316047390137723
,2018-06-14 05:00,0.9936109416515239,1.615599248548791,2.08400165286466,1.4316053127943749
,2018-06-14 06:00,0.9374391586869979,1.5734844021962835,2.163464607265331,1.4316059258827218
,2018-06-14 07:00,0.8840011531930915,1.5286426696743916,2.2111563494735957,1.4316064844727947
,2018-06-14 08:00,0.8307325879761276,1.4810905581122689,2.23197313710193,1.4316069144319366
,2018-06-14 09:00,0.7769648801583511,1.431255286810692,2.236535780272775,1.4316072108199445
,2018-06-14 10:00,0.7247340207462115,1.3819433930875957,2.23653596947508,1.4316074046897302
,2018-06-14 11:00,0.6742971518772491,1.3339648664543375,2.23653607811152,1.4316075156804455
,2018-06-14 12:00,0.6255766495186156,1.2872738009867963,2.2365361194208724,1.4316075567062696
,2018-06-14 13:00,0.5787100746899638,1.2421271881934837,2.2365361104677435,1.43160754609642
,2018-06-14 14:00,0.5330337976689231,1.1976746752954384,2.2365360491473667,1.4316074801399525
,2018-06-14 15:00,0.4893787053825569,1.1548469139602953,2.236535961567196,1.4316073884985874
,2018-06-14 16:00,0.4490477105060798,1.1151487360525945,2.23653587590669,1.4316073012199801
,2018-06-14 17:00,0.41238814839842464,1.079291681497694,2.2365358039003613,1.4316072293223376
,2018-06-14 18:00,0.37932171802778053,1.0473654944269617,2.2365357480424763,1.4316071745053005
,2018-06-14 19:00,0.3517108603137416,1.0217704614577232,2.2365357481637926,1.4316071815021831
,2018-06-14 20:00,0.32768649328221566,1.0007049024284183,2.2365357695476416,1.4316072081690985
,2018-06-14 21:00,0.3055764291212056,0.9822958163131922,2.2365357884616217,1.4316072297574716
,2018-06-14 22:00,0.285246187946971,0.9662998802839012,2.236535810416461,1.431607254406481
,2018-06-14 23:00,0.2667122328795573,0.9526527697576432,2.2365358392196724,1.4316072863393785
,2018-06-15 00:00,0.24854429599156747,0.9397241268084799,2.236535852537687,1.4316073000479326
,2018-06-15 01:00,0.23116467042143884,0.9277922040062306,2.2365358630100745,1.431607311415332
,2018-06-15 02:00,0.21393617905364443,0.9161063632072907,2.236535861375904,1.4316073093042154
,2018-06-15 03:00,0.19846829899870524,0.9062513956636755,2.236535876869491,1.4316073274316126
,2018-06-15 04:00,0.18221833276674204,0.8955164863065389,2.2365358633714854,1.431607311591973
,2018-06-15 05:00,0.16568602272902877,0.8863328587952036,2.2365358686645638,1.4316073189003973
,2018-06-15 06:00,0.14975010719108883,0.8753587521210614,2.236535834967299,1.431607280942507
,2018-06-15 07:00,0.13231757430636043,0.862153907230083,2.2365357669750674,1.4316072067660812
,2018-06-15 08:00,0.11308501528457661,0.846150913694324,2.2365356605625393,1.4316070919120698
,2018-06-15 09:00,0.09184037519590726,0.8269127596847374,2.233142285193283,1.4316069403316256
,2018-06-15 10:00,0.0659478332977527,0.8013220063539496,2.223345207497044,1.4316067011484845
,2018-06-15 11:00,0.0387921669127852,0.773092405324939,2.210461308378947,1.4316064475614285
,2018-06-15 12:00,0.009229634731471275,0.7409290450665017,2.1899099540821676,1.4316061501262596
,2018-06-15 13:00,-0.024163328693048262,0.7033586055181283,2.152974355010665,1.4316057901811527
,2018-06-15 14:00,-0.059305566319554505,0.6627746438213522,2.1055294331107914,1.431605406042137
,2018-06-15 15:00,-0.09276092019469714,0.6231689955406619,2.0494329255938313,1.431605064252282
,2018-06-15 16:00,-0.12226314658438281,0.5874018835754108,1.9979638412391718,1.4316047759429855
,2018-06-15 17:00,-0.14848931326492218,0.5549765004332798,1.9466219946622607,1.431604537138239
,2018-06-15 18:00,-0.17151047650064022,0.5260623773482255,1.8992403209463866,1.4316043325313434
,2018-06-15 19:00,-0.19013265461555837,0.5022441031886786,1.8630052870752813,1.4316041844360305
,2018-06-15 20:00,-0.203619051985461,0.4843648525454381,1.8410886511881963,1.431604101319203
,2018-06-15 21:00,-0.2147812083835964,0.46935351947733944,1.823217107418335,1.4316040304034665
,2018-06-15 22:00,-0.22388823040529715,0.4569731783214044,1.8103981520098142,1.4316039800343114
,2018-06-15 23:00,-0.2330092711636035,0.4449531118975142,1.7951210699120193,1.431603915084599
,2018-06-16 00:00,-0.24197349188282993,0.43347360869797635,1.7791053431052533,1.431603847378953
,2018-06-16 01:00,-0.24943320953764708,0.42395063721136017,1.7671280841193928,1.4316037998670874
,2018-06-16 02:00,-0.2565238078123746,0.41510226523353044,1.754988939500681,1.4316037492357072
,2018-06-16 03:00,-0.2625283615891349,0.40768169231913615,1.7455511940714084,1.431603711724184
,2018-06-16 04:00,-0.2681896997029216,0.40087961307181025,1.7362833926823513,1.4316036733247228
,2018-06-16 05:00,-0.2757345780987136,0.39410309464189713,1.7257371958739234,1.4316036282049918
,2018-06-16 06:00,-0.2815100022473905,0.3874105877129263,1.7145143366239393,1.4316035803072489
,2018-06-16 07:00,-0.28952344472071756,0.3782350738654553,1.694898259893062,1.431603490751944
,2018-06-16 08:00,-0.3016286307711774,0.36434911856714575,1.6610819178088496,1.431603334260193
,2018-06-16 09:00,-0.3184128985007543,0.3450688610288168,1.6145501372397306,1.431603118800965
,2018-06-16 10:00,-0.3381180324088065,0.3223139187975004,1.5619452141963823,1.4316028761396087
,2018-06-16 11:00,-0.36036139023163044,0.2964918889792943,1.5028600460146386,1.4316025995748483
,2018-06-16 12:00,-0.38441422590474117,0.26839517775175314,1.4419818509821185,1.4316023110957414
,2018-06-16 13:00,-0.40831303566222305,0.24017750792948267,1.384364873935495,1.4316020347696428
,2018-06-16 14:00,-0.43609839751347296,0.2074312705338751,1.3178523811471219,1.4316016928585849
,2018-06-16 15:00,-0.4646270267960676,0.17370638284403017,1.2544357196054956,1.4316013666553742
,2018-06-16 16:00,-0.4900715053082542,0.14326881137418032,1.1989744527126138,1.4316010846877072
,2018-06-16 17:00,-0.5144523121308859,0.11400351708213508,1.147874228175423,1.4316008168094796
,2018-06-16 18:00,-0.5324933253471503,0.09185333937368617,1.1108124845295138,1.4316006424926828
,2018-06-16 19:00,-0.5461872196332387,0.07460417609572914,1.0825488157531764,1.431600510053501
,2018-06-16 20:00,-0.5562190683497357,0.06147566655073871,1.0611857294763898,1.431600413001422
,2018-06-16 21:00,-0.5668943062972092,0.04765868100799788,1.0388520738924651,1.431600288253584
,2018-06-16 22:00,-0.5777779601534297,0.0336445658821914,1.0161987593055226,1.4316001612074833
,2018-06-16 23:00,-0.5867999214731048,0.021735875567237165,0.996882858077536,1.4316000610125774
,2018-06-17 00:00,-0.5915874087139658,0.014540232715685405,0.9844109373547666,1.4316000127008022
,2018-06-17 01:00,-0.5969380347999942,0.006799072786581397,0.9716971190569043,1.4315999411181173
,2018-06-17 02:00,-0.6023264409130197,-0.000915483706403541,0.9586962409585092,1.4315998666049663
,2018-06-17 03:00,-0.6077604737069685,-0.008604139692498965,0.9454635732585462,1.43159978927258
,2018-06-17 04:00,-0.6108918011327766,-0.013682054767708242,0.9355212562394108,1.4315997431879044
,2018-06-17 05:00,-0.6161559076264133,-0.019115339843883417,0.9253464379848431,1.4315996831592022
,2018-06-17 06:00,-0.6206173273269779,-0.025614368682893074,0.9135207085794163,1.4315996072021004
